name,url,price,review_count
"Laptop Asus ExpertBook B5 B5604CMA, 16"", WUXGA, Intel Core Ultra 7 155H, 16GB DDR5, 512GB SSD, Intel Graphics, Win 11 Pro Education, Star Black",https://www.flanco.ro/laptop-asus-expertbook-b5-b5604cma-16-wuxga-intel-core-ultra-7-155h-16gb-ddr5-512gb-ssd-intel-graphics-win-11-pro-education-star-black.html,"11.199,99lei",2Recenzii
"Laptop Asus Vivobook 15 X1504VA, 15.6"", Full HD, Intel Core i5-1335U, 16GB DDR4, 512GB SSD, Intel Iris Xe, No OS, Quiet Blue",https://www.flanco.ro/laptop-asus-vivobook-15-x1504va-15-6-full-hd-intel-core-i5-1335u-16gb-ddr4-512gb-ssd-intel-iris-xe-no-os-quiet-blue.html,"2.699,99lei",2Recenzii
"Laptop ASUS 15.6'' Vivobook 15 X1504VA, FHD, 60 Hz, Intel Core i5-1335U, 16GB DDR4, 512GB SSD, No OS, Cool Silver",https://www.flanco.ro/laptop-asus-15-6-vivobook-15-x1504va-fhd-60-hz-intel-core-i5-1335u-16gb-ddr4-512gb-ssd-no-os-cool-silver.html,"2.999,99lei",2Recenzii
"Laptop ASUS VivoBook 15 X1504VA-BQ141, Intel Core i7-1355U, 15.6inch, RAM 16GB, SSD 512GB, Intel Iris Xe Graphics, No OS, Quiet Blue",https://www.flanco.ro/laptop-asus-vivobook-15-x1504va-bq141-intel-core-i7-1355u-15-6inch-ram-16gb-ssd-512gb-intel-iris-xe-graphics-no-os-quiet-blue.html,"3.399,99lei",2Recenzii
"Laptop Lenovo IdeaPad 1 15ALC7 15.6"", Full HD, AMD Ryzen 7 5700U, 16 GB RAM, 512 GB SSD, No OS, Abyss Blue",https://www.flanco.ro/laptop-lenovo-ideapad-1-15alc7-15-6-full-hd-amd-ryzen-7-5700u-16-gb-ram-512-gb-ssd-no-os-abyss-blue.html,"2.899,99lei",2Recenzii
"Laptop Gaming ASUS TUF F16 FX607JU, Intel Core i7-13650HX, 16"", Full HD+, 8GB, 1TB SSD, NVIDIA GeForce RTX 4050, No OS, Jaeger Gray",https://www.flanco.ro/laptop-gaming-asus-tuf-f16-fx607ju-intel-core-i7-13650hx-16-full-hd-8gb-1tb-ssd-nvidia-geforce-rtx-4050-no-os-jaeger-gray.html,"8.499,99lei",2Recenzii
"Laptop ASUS Chromebook Plus CX34 CX3402CBA-PQ0457, Intel Core i3-1215U, 14inch, RAM 8GB, UFS 128GB, Intel UHD Graphics, Chrome OS, Rocky Grey",https://www.flanco.ro/laptop-asus-chromebook-plus-cx34-cx3402cba-pq0457-intel-core-i3-1215u-14inch-ram-8gb-ufs-128gb-intel-uhd-graphics-chrome-os-rocky-grey.html,"3.339,99lei",2Recenzii
"Laptop Apple MacBook Air 13.6"" Retina, Apple M2, 8GB, SSD 256GB, Apple M2 GPU, macOS Monterey, Midnight",https://www.flanco.ro/laptop-apple-macbook-air-13-6-retina-apple-m2-8gb-ssd-256gb-apple-m2-gpu-macos-monterey-midnight.html,"6.349,99lei",1Recenzie
"Laptop HP 15s-eq3018nq, 15.6"", Full HD, AMD Ryzen 5 5625U, 8GB RAM, 512GB SSD, AMD Radeon Graphics, No OS, Natural Silver",https://www.flanco.ro/laptop-hp-15s-eq3018nq-15-6-full-hd-amd-ryzen-5-5625u-8gb-ram-512gb-ssd-amd-radeon-graphics-no-os-natural-silver.html,"3.299,99lei",1Recenzie
"Laptop gaming Asus TUF F15 FX507VU, 15.6"", Full HD, Intel Core i7-13620H, 16GB DDR5, 512GB SSD, GeForce RTX 4050, No OS, Gri",https://www.flanco.ro/laptop-gaming-asus-tuf-f15-fx507vu-15-6-full-hd-intel-core-i7-13620h-16gb-ddr5-512gb-ssd-geforce-rtx-4050-no-os-gri.html,"7.199,99lei",1Recenzie
"Laptop Lenovo Yoga 6 13ABR8, 13.3"", WUXGA, AMD Ryzen 7 7730U, 16GB RAM, 512GB SSD, AMD Radeon Graphics, Windows 11 Home, Dark Teal",https://www.flanco.ro/laptop-lenovo-yoga-6-13abr8-13-3-wuxga-amd-ryzen-7-7730u-16gb-ram-512gb-ssd-amd-radeon-graphics-windows-11-home-dark-teal.html,"3.999,99lei",1Recenzie
"Laptop Gaming ASUS TUF F16 FX607JV, Intel Core i7-13650HX, 16"", Full HD+, 16GB, 1TB SSD, NVIDIA GeForce RTX 4060, No OS, Mecha Gray",https://www.flanco.ro/laptop-gaming-asus-tuf-f16-fx607jv-intel-core-i7-13650hx-16-full-hd-16gb-1tb-ssd-nvidia-geforce-rtx-4060-no-os-mecha-gray.html,"7.999,99lei",1Recenzie
"Laptop Asus Vivobook 17 X1704VA, 17.3"", Full HD, Intel Core i5-1335U, 16GB DDR4, 1TB SSD, Intel Iris Xe, No OS, Quiet Blue",https://www.flanco.ro/laptop-asus-vivobook-17-x1704va-17-3-full-hd-intel-core-i5-1335u-16gb-ddr4-1tb-ssd-intel-iris-xe-no-os-quiet-blue.html,"4.058,99lei",1Recenzie
"Laptop Asus X515KA, 15.6'', Full HD, Intel Celeron N4500, 8GB DDR4, 512GB SSD, Intel UHD, No OS, Transparent Silver",https://www.flanco.ro/laptop-asus-x515ka-15-6-full-hd-intel-celeron-n4500-8gb-ddr4-512gb-ssd-intel-uhd-no-os-transparent-silver.html,"1.699,99lei",1Recenzie
"Laptop ASUS 17.3'' Vivobook 17 X1704VA, FHD, Procesor Intel Core i3-1315U, 8GB DDR4, 512GB SSD, GMA UHD, No OS, Quiet Blue",https://www.flanco.ro/laptop-asus-17-3-vivobook-17-x1704va-fhd-procesor-intel-core-i3-1315u-8gb-ddr4-512gb-ssd-gma-uhd-no-os-quiet-blue.html,"4.009,99lei",1Recenzie
"Laptop ASUS ROG Strix G16 G614JIR-N4068, Intel Core i9-14900HX, 16inch, RAM 16GB, SSD 1TB, nVidia GeForce 4070, No OS, Eclipse Gray",https://www.flanco.ro/laptop-asus-rog-strix-g16-g614jir-n4068-intel-core-i9-14900hx-16inch-ram-16gb-ssd-1tb-nvidia-geforce-4070-no-os-eclipse-gray.html,"18.249,99lei",1Recenzie
"Laptop Gaming Lenovo Legion Slim 5 16ARP9 16"", WQXGA IPS, AMD Ryzen 7 7435HS, NVIDIA GeForce RTX 4070, 16 GB RAM, 1 TB SSD, No OS, Luna Grey",https://www.flanco.ro/laptop-gaming-lenovo-legion-slim-5-16arp9-16-wqxga-ips-amd-ryzen-7-7435hs-nvidia-geforce-rtx-4070-16-gb-ram-1-tb-ssd-no-os-luna-grey.html,"8.999,99lei",1Recenzie
"Laptop Business ASUS ExpertBook B1, B1502CVA-BQ1447, 15.6 inch, FHD, Intel® Core™ i7-1355U, Intel® UHD Graphics, DDR4 16 GB RAM, 512 GB SSD, NO OS, Star Black",https://www.flanco.ro/laptop-business-asus-expertbook-b1-b1502cva-bq1447-15-6-inch-fhd-intelr-coretm-i7-1355u-intelr-uhd-graphics-ddr4-16-gb-ram-512-gb-ssd-no-os-star-black.html,"5.819,99lei",1Recenzie
"Laptop ASUS Zenbook 16 OLED UM5606WA-RK276X, AMD Ryzen AI 9 HX 370, 16"", 32GB RAM, 1TB SSD, AMD Radeon 690M Graphics, Windows 11 Pro, Scandinavian White",https://www.flanco.ro/laptop-asus-zenbook-16-oled-um5606wa-rk276x-amd-ryzen-ai-9-hx-370-16-32gb-ram-1tb-ssd-amd-radeon-690m-graphics-windows-11-pro-scandinavian-white.html,"13.499,99lei",1Recenzie
"Laptop Business ASUS ExpertBook B3, B3402FVA-EC0800X , 14.0-inch, FHD (1920 x 1080) 16:9, Intel® Core™ i5-1335U (pana la 4.6GHz), Intel Iris Xᵉ Graphics, 1x M.2 2280 PCIe 4.0x4, DDR4 16GB, 256GB M.2",https://www.flanco.ro/laptop-business-asus-expertbook-b3-b3402fva-ec0800x-14-0-inch-fhd-1920-x-1080-16-9-intelr-coretm-i5-1335u-pana-la-4-6ghz-intel-iris-x-graphics-1x-m-2-2280-pcie-4-0x4-ddr4-16gb-256gb-m-2.html,"7.789,99lei",1Recenzie
"Laptop ASUS Vivobook S 14 OLED S5406SA, 14"", WUXGA, Intel Core Ultra 7 256V, 16GB LPDDR5X, 1TB SSD, Intel Arc 140V, Win 11 Pro, Neutral Black",https://www.flanco.ro/laptop-asus-vivobook-s-14-oled-s5406sa-14-wuxga-intel-core-ultra-7-256v-16gb-lpddr5x-1tb-ssd-intel-arc-140v-win-11-pro-neutral-black.html,"9.529,99lei",1Recenzie
"Laptop Apple MacBook Air 13.6"" Retina, Apple M2, 8GB, SSD 256GB, Apple M2 GPU, macOS Monterey, Space Gray",https://www.flanco.ro/laptop-apple-macbook-air-13-6-retina-apple-m2-8gb-ssd-256gb-apple-m2-gpu-macos-monterey-space-gray.html,"7.349,99lei",0Recenzii
"Laptop HP 15s-eq2023nq, 15.6"", Full HD, AMD Ryzen 5 5500U, 8GB RAM, 512GB SSD, AMD Radeon Graphics, No OS, Argintiu",https://www.flanco.ro/laptop-hp-15s-eq2023nq-15-6-full-hd-amd-ryzen-5-5500u-8gb-ram-512gb-ssd-amd-radeon-graphics-no-os-argintiu.html,"2.499,99lei",0Recenzii
"Laptop gaming HP Omen 16-n0014nq, 16.1"", Full HD, AMD Ryzen 9 6900HX, 16GB RAM, 1TB SSD, NVIDIA GeForce RTX 3070 Ti, No OS, Mica Silver",https://www.flanco.ro/laptop-gaming-hp-omen-16-n0014nq-16-1-full-hd-amd-ryzen-9-6900hx-16gb-ram-1tb-ssd-nvidia-geforce-rtx-3070-ti-no-os-mica-silver.html,"13.999,99lei",0Recenzii
"Laptop Apple MacBook Air 15"" Retina, Apple M2, 8GB, 512GB SSD, Apple M2 GPU, macOS Ventura, Tastatura Internationala, Silver",https://www.flanco.ro/laptop-apple-macbook-air-15-retina-apple-m2-8gb-512gb-ssd-apple-m2-gpu-macos-ventura-tastatura-internationala-silver.html,"8.999,99lei",0Recenzii
"Laptop Apple MacBook Pro 2023, 14"", Liquid Retina XDR, Apple M3 8-core CPU, 10-core GPU, 8GB RAM, 1TB SSD, macOS Sonoma, Space Grey",https://www.flanco.ro/laptop-apple-macbook-pro-2023-14-liquid-retina-xdr-apple-m3-8-core-cpu-10-core-gpu-8gb-ram-1tb-ssd-macos-sonoma-space-grey.html,"10.499,99lei",0Recenzii
"Laptop Apple MacBook Pro 2023, 16"", Liquid Retina XDR, Apple M3 Max 14-core CPU, 30-core GPU, 36GB RAM, 1TB SSD, macOS Sonoma, Silver",https://www.flanco.ro/laptop-apple-macbook-pro-2023-16-liquid-retina-xdr-apple-m3-max-14-core-cpu-30-core-gpu-36gb-ram-1tb-ssd-macos-sonoma-silver.html,"24.499,99lei",0Recenzii
"Laptop Lenovo IdeaPad 1 15ALC7, 15.6"", Full HD, AMD Ryzen 5 5500U, 12GB RAM, 512GB SSD, AMD Radeon, No OS, Cloud Grey",https://www.flanco.ro/laptop-lenovo-ideapad-1-15alc7-15-6-full-hd-amd-ryzen-5-5500u-12gb-ram-512gb-ssd-amd-radeon-no-os-cloud-grey.html,"2.699,99lei",0Recenzii
"Laptop Lenovo IdeaPad 1 15ALC7, 15.6"", Full HD, AMD Ryzen 7 5700U, 16GB RAM, 512GB SSD, AMD Radeon, No OS, Cloud Grey",https://www.flanco.ro/laptop-lenovo-ideapad-1-15alc7-15-6-full-hd-amd-ryzen-7-5700u-16gb-ram-512gb-ssd-amd-radeon-no-os-cloud-grey.html,"3.299,99lei",0Recenzii
"Laptop Lenovo IdeaPad 1, 15.6"", HD, Intel Celeron N4020, 4GB RAM, 256GB SSD, Intel UHD Graphics 600, No OS, Cloud Grey",https://www.flanco.ro/laptop-lenovo-ideapad-1-15-6-hd-intel-celeron-n4020-4gb-ram-256gb-ssd-intel-uhd-graphics-600-no-os-cloud-grey.html,"1.099,99lei",0Recenzii
